# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.622065480463e+02       7.839811927191e-03       1.000634724086e+03       2.687446104948e-01       1.310169650548e+04       8.027678216540e+01       2.138282660209e+06       3.883069998528e+02       1.952222836381e-03       1.082644180631e-02       5.809536158351e-02       3.530299370118e-08       1.349600295578e-03       7.222366567002e-02       7.222366567002e-02       1.100568755495e-03      -7.249277533233e-06       8.122948849051e-03       9.690592124405e-01 
       1.604616389075e+02       7.971338212830e-03       1.007180872860e+03       2.643816270718e-01       1.309515035670e+04       8.110378691376e+01       2.114364438334e+06       3.899673086428e+02       1.870064120062e-03       1.048289118216e-02       5.625184751956e-02       3.530299370118e-08       1.292802769311e-03       6.989764473314e-02       6.989764473314e-02       1.054250013859e-03      -6.905284335289e-06       8.208017091386e-03       9.693797326997e-01 
       1.587353853187e+02       8.105034856124e-03       1.013763899273e+03       2.600901245176e-01       1.308856733029e+04       8.193906005345e+01       2.090707345774e+06       3.916297371881e+02       1.791363028835e-03       1.015024229594e-02       5.446683286093e-02       3.530299370118e-08       1.238395550011e-03       6.764687287158e-02       6.764687287158e-02       1.009880582900e-03      -6.577630743980e-06       8.294004649275e-03       9.696970380739e-01 
       1.570275878255e+02       8.240937333339e-03       1.020383994631e+03       2.558689150747e-01       1.308194723493e+04       8.278268000507e+01       2.067308565597e+06       3.932942691828e+02       1.715974049581e-03       9.828149207697e-03       5.273846127220e-02       3.530299370118e-08       1.186278042322e-03       6.546890170149e-02       6.546890170149e-02       9.673784264594e-04      -6.265539700982e-06       8.380921457865e-03       9.700111585942e-01 
       1.553380491062e+02       8.379081698238e-03       1.027041351292e+03       2.517168311422e-01       1.307528987827e+04       8.363472585864e+01       2.044165311067e+06       3.949608883912e+02       1.643757793053e-03       9.516276955023e-03       5.106493532424e-02       3.530299370118e-08       1.136353884414e-03       6.336136308026e-02       6.336136308026e-02       9.266649608452e-04      -5.968271154924e-06       8.468777559658e-03       9.703221240577e-01 
       1.536665739486e+02       8.519504591599e-03       1.033736162675e+03       2.476327249234e-01       1.306859506689e+04       8.449527737798e+01       2.021274825317e+06       3.966295786490e+02       1.574580736161e-03       9.214301204725e-03       4.944451462492e-02       3.530299370118e-08       1.088530769814e-03       6.132196645299e-02       6.132196645299e-02       8.876649095365e-04      -5.685120295987e-06       8.557583105681e-03       9.706299640264e-01 
       1.520129692276e+02       8.662243250845e-03       1.040468623264e+03       2.436154680799e-01       1.306186260630e+04       8.536441500503e+01       1.998634381033e+06       3.983003238631e+02       1.508314975094e-03       8.921907915531e-03       4.787551400918e-02       3.530299370118e-08       1.042720276741e-03       5.934849628777e-02       5.934849628777e-02       8.503061640025e-04      -5.415415874887e-06       8.647348356664e-03       9.709347078272e-01 
       1.503770438830e+02       8.807335519524e-03       1.047238928614e+03       2.396639513915e-01       1.305509230095e+04       8.624221986417e+01       1.976241280138e+06       3.999731080133e+02       1.444837988835e-03       8.638793011497e-03       4.635630178657e-02       3.530299370118e-08       9.988377046183e-04       5.743880959661e-02       5.743880959661e-02       8.145196503782e-04      -5.158518602200e-06       8.738083684213e-03       9.712363845561e-01 
       1.487586088973e+02       8.954819857317e-03       1.054047275354e+03       2.357770844234e-01       1.304828395421e+04       8.712877376660e+01       1.954092853479e+06       4.016479151518e+02       1.384032412627e-03       8.364662065788e-03       4.488529804433e-02       3.530299370118e-08       9.568019174663e-04       5.559083353918e-02       5.559083353918e-02       7.802392017521e-04      -4.913819624185e-06       8.829799572011e-03       9.715350230770e-01 
       1.471574772736e+02       9.104735350131e-03       1.060893861201e+03       2.319537951976e-01       1.304143736836e+04       8.802415921461e+01       1.932186460518e+06       4.033247294048e+02       1.325785820974e-03       8.099229994481e-03       4.346097300437e-02       3.530299370118e-08       9.165351938903e-04       5.380256310656e-02       5.380256310656e-02       7.474014358269e-04      -4.680739071429e-06       8.922506617046e-03       9.718306520213e-01 
       1.455734640145e+02       9.257121720051e-03       1.067778884956e+03       2.281930298724e-01       1.303455234461e+04       8.892845940597e+01       1.910519489028e+06       4.050035349724e+02       1.269990519774e-03       7.842220760095e-03       4.208184543235e-02       3.530299370118e-08       8.779630833768e-04       5.207205888234e-02       5.207205888234e-02       7.159456377308e-04      -4.458724676836e-06       9.016215530808e-03       9.721232997917e-01 
       1.440063861006e+02       9.412019335852e-03       1.074702546517e+03       2.244937524260e-01       1.302762868305e+04       8.984175823823e+01       1.889089354789e+06       4.066843161296e+02       1.216543347198e-03       7.593367084522e-03       4.074648109728e-02       3.530299370118e-08       8.410142686399e-04       5.039744487829e-02       5.039744487829e-02       6.858136477592e-04      -4.247250459637e-06       9.110937140544e-03       9.724129945614e-01 
       1.424560624689e+02       9.569469223587e-03       1.081665046882e+03       2.208549443466e-01       1.302066618268e+04       9.076414031304e+01       1.867893501289e+06       4.083670572264e+02       1.165345482953e-03       7.352410171070e-03       3.945349127999e-02       3.530299370118e-08       8.056204337608e-04       4.877690644234e-02       4.877690644234e-02       6.569497538412e-04      -4.045815472262e-06       9.206682390511e-03       9.726997642745e-01 
       1.409223139924e+02       9.729513077022e-03       1.088666588157e+03       2.172756043282e-01       1.301366464141e+04       9.169569094047e+01       1.846929399430e+06       4.100517426888e+02       1.116302265568e-03       7.119099435328e-03       3.820153132891e-02       3.530299370118e-08       7.717161378755e-04       4.720868823616e-02       4.720868823616e-02       6.293005885319e-04      -3.853942607058e-06       9.303462343227e-03       9.729836366493e-01 
       1.394049634594e+02       9.892193268691e-03       1.095707373557e+03       2.137547479711e-01       1.300662385601e+04       9.263649614331e+01       1.826194547232e+06       4.117383570189e+02       1.069323017372e-03       6.893192244566e-03       3.698929926167e-02       3.530299370118e-08       7.392386941792e-04       4.569109228021e-02       4.569109228021e-02       6.028150303394e-04      -3.671177459997e-06       9.401288180756e-03       9.732646391777e-01 
       1.379038355525e+02       1.005755286099e-02       1.102787607421e+03       2.102914074892e-01       1.299954362214e+04       9.358664266138e+01       1.805686469547e+06       4.134268847956e+02       1.024320876837e-03       6.674453665410e-03       3.581553441116e-02       3.530299370118e-08       7.081280540229e-04       4.422247606379e-02       4.422247606379e-02       5.774441092047e-04      -3.497087248644e-06       9.500171206011e-03       9.735427991256e-01 
       1.364187568288e+02       1.022563561714e-02       1.109907495208e+03       2.068846314208e-01       1.299242373436e+04       9.454621795582e+01       1.785402717768e+06       4.151173106752e+02       9.812126379758e-04       6.462656219521e-03       3.467901611443e-02       3.530299370118e-08       6.783266958867e-04       4.280125071813e-02       4.280125071813e-02       5.531409159589e-04      -3.331259781780e-06       9.600122844036e-03       9.738181435362e-01 
       1.349495557000e+02       1.039648601279e-02       1.117067243512e+03       2.035334843463e-01       1.298526398605e+04       9.551531021337e+01       1.765340869551e+06       4.168096193915e+02       9.399185965014e-04       6.257579647031e-03       3.357856244330e-02       3.530299370118e-08       6.497795190271e-04       4.142587925013e-02       4.142587925013e-02       5.298605155916e-04      -3.173302478225e-06       9.701154643341e-03       9.740906992286e-01 
       1.334960624119e+02       1.057014924765e-02       1.124267060060e+03       2.002370466096e-01       1.297806416950e+04       9.649400835063e+01       1.745498528528e+06       4.185037957562e+02       9.003624024571e-04       6.059010677476e-03       3.251302897515e-02       3.530299370118e-08       6.224337415988e-04       4.009487483493e-02       4.009487483493e-02       5.075598641689e-04      -3.022841432491e-06       9.803278277247e-03       9.743604928004e-01 
